id,text
1,会员等级降级了也没人通知
2,每日一股有一半以上当天是跌的
3,学了两个月收益还是负的，怀疑人生了
4,筹码分布分析课水得很，讲了一堆没用的
5,课程价格太贵了，内容和价值完全不匹配
6,压力测试完全是小白水平
7,教人用杠杆ETF结果连什么是杠杆损耗都没说清楚
8,说好一个月更新四节课，结果两个月只更新了两节
9,教的内容和课程简介严重不符
10,带单操作从来不提前说，都是买完了才发截图
11,会员专属报告质量很高，每周都认真看
12,龙虎榜分析都是马后炮，涨了才解释为什么涨
13,财务模型的搭建方法讲得太少了
14,上次提的问题到现在都没人回答
15,老师说好的加仓点位，真到了又说再等等
16,每次推票都说是最后上车机会，结果一买就跌
17,直播课干货满满，每节课都有收获
18,上课时间总是临时变动，完全不考虑学员时间
19,社区里全是托在吹捧老师，真实评价都被删了
20,游资席位分析课趣味性很强，学到不少
21,尾盘选股法实战效果不错，已经用了半个月
22,说是有专属助教一对一辅导，结果问问题三天才回复
23,MACD金叉死叉课说得很简单，实际用起来总滞后
24,行业ETF轮动策略收益不错，继续跟
25,实战能力提升不明显，和没学之前差不多
26,历史回测功能参数设置太复杂了
27,客服说转接主管，等了二十分钟没人接
28,学会看财报之后避开了很多雷股
29,核心内容还要另外付费，套路太深了
30,做T技巧课很实用，学会了降低成本
31,短线操作建议太频繁了，光手续费就亏了不少
32,现金流分析帮我避开了好几只问题股
33,融资融券的展期规则讲得不清楚
34,盘感训练课太玄了，没有办法量化
35,培训讲的价值投资结果自己天天追涨杀跌
36,每次直播课一半时间都在吹自己多厉害，干货少得可怜
37,双屏操作时适配很差
38,高送转分析完全就是赌博策略
39,教人满仓杠杆操作，完全不负责任
40,模拟盘训练很有帮助，实盘心里有底了
41,定投策略课程学完就开始执行了，账户慢慢翻红了
42,说好的止盈线到了没提示，跌回去了才说
43,期权课程太基础，连行权价是什么意思都没讲清楚
44,充值了会员但权益没有立刻生效，找客服也不解决
45,说好的专属学习规划师联系了一次就失联了
46,学的策略太复杂了，根本执行不了
47,课程目录折叠设计不合理，找课很麻烦
48,所谓的机构策略其实就是散户反向指标
49,QFII持仓变化分析课太少了，建议补充
50,所谓的机构策略其实就是散户反向指标
51,用的案例都是五六年前的，完全过时了
52,APP行情数据延迟至少五分钟，怎么操作？
53,自动续费找不到关闭入口，扣了三个月才发现
54,知识库文章排序混乱，没有归类
55,个股期权的课程内容很少，建议补充
56,技术指标背离分析方法很实用，讲得也透彻
57,筹码峰教学讲得不错但是数据更新不及时
58,次新股炒作逻辑讲得很清楚
59,说好的不满意全额退款，现在只退一半
60,每次上课都推销更高价的课程，体验很差
61,这个月的实操课换了新老师，风格不适应
62,跟着老师的推荐买了股票，一周亏了15%
63,APP最近更新很好用，数据也及时了
64,培训讲的价值投资结果自己天天追涨杀跌
65,说好的七天无理由退款，现在各种找借口
66,跟了半年的群一点长进都没有
67,市净率在市盈率失效的时候很好用
68,老师说好的加仓点位，真到了又说再等等
69,视频播放器没有记忆播放位置的功能
70,解约要付违约金，当初签合同根本没提
71,每天的复盘直播就是吹自己的战绩
72,个人中心页面加载很慢
73,中签分析完全不靠谱，推荐的都没中
74,阶段考试题目和课程内容都不相关
75,基础课和进阶课内容很多重复的，感觉被坑了
76,老师讲的投资理念很实用，学了三个月收益不错
77,客服换了好几个人了每次都要重复说情况
78,所谓的量化策略其实就是简单均线
79,说好的赠送服务条款里根本没写
80,TopView数据解读功能讲解得很好
81,申请售后居然要提供一堆个人隐私信息
82,学了几个月理论知识很扎实但实操一塌糊涂
83,跨境ETF的汇率风险讲得不够深入
84,推荐的课程老师现在离职了也没人通知
85,分享功能经常报错
86,说的量化策略回测曲线很好看，实盘完全不一样
87,让定投的基金跌了30%了还在让继续定投
88,课程质量越来越差，新开的课明显在凑数
89,说好的每周策略课，这周直接取消了也不通知
90,公募基金排行榜讲得很有道理
91,资金流向分析在板块轮动判断上很有帮助
92,教大家做网格交易，结果标的选错了亏了不少
93,可转债套利课程实战性很强，已经套利成功了
94,群里的操作建议互相矛盾，不知道该信谁的
95,自选股分组功能太少了，只能分三个组
96,横向对比分析的方法论很清晰，学到很多
97,带的单总是和正常走势反着来
98,说的波段操作区间太窄了，根本做不了
99,卖方研报筛选方法很实用，省了很多时间
100,社保基金持仓分析很有参考价值
101,股票对比功能只能对比两只
102,续费价格比新用户贵了一倍，老用户不如狗
103,选股器的筛选条件太少了不够用
104,交易记录导出格式乱糟糟的，打开都乱了
105,客服处理问题效率不错，就是价格有点贵
106,行业轮动分析帮我抓住了科技行情
107,说好的从小白到高手，学完了感觉还是小白
108,学完一个系列课根本没办法独立交易
109,ST股的摘帽行情分析实操性很强
110,加密货币的分析课程完全没有风险提示
111,教人追涨停板的票，风险太大了
112,学习进度条设计不合理，看到一半也算完成了
113,账号被封申诉了三次都没人处理
114,老师讲得太快了，跟不上节奏
115,老师推荐的指标根本没用，按他说的买亏了不少
116,学了三个月还是不会自己选股，白学了
117,毛利率和净利率的分析让我重新审视了很多公司
118,会员积分快过期了也没提醒
119,PEG估值法是个好指标，学会了
120,公告战法分析课内容很棒，抓住了不少机会
121,投诉电话永远是忙音，根本打不通
122,老师的政策解读很到位，对降准降息的分析很准
123,股东增减持分析很实用，跟着聪明钱走
124,定增解禁前后的差价套利很实用
125,投诉后不但没解决还被拉黑了
126,商品期货的跨品种套利讲得很好
127,ETF套利策略很实用，建议多出类似课程
128,试听课讲得特别好，付费后就变样了
129,PC端登录后经常自动掉线
130,风控建议一点用没有，该止损的时候没止损
131,道氏理论课太老了，和A股完全不搭
132,成交量分析完全是凭感觉说，没有量化标准
133,主力资金流向分析课实战价值不高
134,龙头股战法课讲了等于没讲
135,老师水平还可以，就是讲课进度太慢了
136,学习视频加载特别慢，看一节课要缓冲好几次
137,课程内容干货很多，但界面操作体验需要改进
138,个股期权的课程内容很少，建议补充
139,龙头股的识别方法和操作技巧很实用
140,牛股推荐每次都说是内部消息，接盘概率很大
141,实盘功能经常断线，错过买卖时机
142,相对强弱指标RSI的背离用法没讲透
143,股指期货对冲策略很实用，学会了规避大盘风险
144,说好的每日盘前策略，经常下午才发出来
145,推荐的新股基本都是破发的
146,老师推荐的基金一直在跌，能不能给个说法？
147,市净率在市盈率失效的时候很好用
148,建议追涨的票每次都是冲高回落
149,社区图片上传经常失败
150,投资日历不能同步到手机系统日历
151,研究报告下载要另外付费，割韭菜呢
152,说是有机构内幕消息，结果买了就跌停
153,学习小组里面大家都在认真讨论，氛围很好
154,要求开发票拖了一个月都没开出来
155,群里的技术讨论基本都是答非所问
156,联系人工客服排队排了半小时还没排到
157,行业分类标准太旧了，很多新行业没有
158,买了VIP课程，内容和免费视频差不多，太失望了
159,作业批改太敷衍了，就回了两个字不够
160,课程学了就忘，没有一个复习的机制
161,课程内容还行，但实操部分希望能再多一些
162,技术分析和基本面分析总是自相矛盾
163,量化回测功能建议增加沪深300成分股筛选
164,会计粉饰识别技巧很实用，一看一个准
165,老师说要多复盘，但我连怎么复盘都没学会
166,白银会员推荐的股票从来没有红过
167,要求纸质合同拖了三个月没寄到
168,课程质量越来越差，新开的课明显在凑数
169,仓位管理建议太保守了，按他的来根本赚不到钱
170,说是班主任制结果班主任换了五个
171,技术指标画线工具太难用了，经常对不准
172,APP耗电太快了，开一会儿手机就发烫
173,分红率选股策略适合稳健型投资者
174,想退款客服一直推诿，说过了退款期限
175,学习计划太紧了，上班族根本跟不上
176,微信客服回复特别慢，问一句等半小时
177,新股日历不准，经常漏掉
178,团队套餐说的五个账号，结果只能同时登一个
179,希望能增加一些关于经济周期判断的内容
180,助教在群里发的每日复盘很有价值
181,分级基金教学已经是过去式了，该更新了
182,搜索功能太弱了，很多内容搜不到
183,直播课干货满满，每节课都有收获
184,推荐的策略完全没考虑交易成本和滑点
185,群里每天都在喊单买票，感觉像韭菜群
186,要求开发票拖了一个月都没开出来
187,新股申购指导根本不准，中签率还没自己高
188,行业景气度判断方法很实用，学会了看上下游
189,课件下载下来是加密的，换个设备就看不了
190,期权课程太基础，连行权价是什么意思都没讲清楚
191,实操课讲得太笼统，具体怎么操作完全没说明白
192,投资组合分析功能一直维护中，都三个月了
193,缴费前后服务态度差别太大了
194,打板策略教学太激进了，不适合普通散户
195,科创板交易规则讲得很清晰，减少了很多弯路
196,资产负债表分析课讲得清晰易懂
197,分时图分析课内容太少了，没讲透
198,关注老师的通知经常收不到
199,作业点评环节都是走过场，没有针对性建议
200,资金管理课讲得最好，但是被安排在选修里
201,可转债下修策略很不错，学到了新知识
202,商誉减值分析课及时，帮我在年报季避了雷
203,群里托太多了，天天发盈利截图诱导报课
204,K线形态学了一个月，实战完全不知道怎么用
205,客服邮箱发邮件从来不回
206,学的策略太复杂了，根本执行不了
207,课程里的案例分析太少，都是理论
208,课程结束之后就没有学习计划了
209,老师自己偷偷减仓了还让我们拿着
210,感谢助教耐心辅导，终于搞懂了市盈率的用法
211,老师经常迟到，有时候直接不出席
212,老学员推荐的课程打了折但内容缩水了
213,期权课程太基础，连行权价是什么意思都没讲清楚
214,课程内容扎实，对得起这个价格
215,每天推送的消息太多但不实用
216,实战训练营就是让我们不停买买买，学不到东西
217,续费时价格和宣传的不一样，多了好几百
218,账号被封了说是因为违规，但我什么都没做
219,会员专属直播经常改时间，赶不上只能看重播
220,LOF基金折溢价套利策略很实用
221,基础课和进阶课内容很多重复的，感觉被坑了
222,私募基金的分析课程太少了
223,退款只退到平台余额不能提现
224,用积分兑换的会员折扣券，兑换了用不了
225,说什么三年十倍不是梦，纯属忽悠
226,仓位管理口诀很实用，记下来能用上
227,复利计算器功能都没有，还得自己算
228,换老师的要求被拒绝了，说不能指定授课老师
229,视频不能倍速播放，太浪费时间了
230,量化策略课就是用几个指标骗钱的
231,零基础学员根本跟不上这种节奏
232,北交所投资策略分析内容太少，没什么参考价值
233,筹码峰教学讲得不错但是数据更新不及时
234,财务分析课教怎么看报表，但选股时还是不会用
235,建议定投的基金费率超高，管理费就吃掉一大半收益
236,明明是实战课结果全是理论
237,老师让抄底，现在被套了20个点了怎么办？
238,投诉平台也找不到正规的投诉入口
239,买了课程还没开始学就不让退款了
240,学习笔记功能太难用，写了的经常保存不了
241,每次推荐的票都有明显的出货痕迹
242,年费会员看不到新加的高级内容，要再付费
243,解约后账号里的学习资料全被清空了
244,带的单总是和正常走势反着来
245,这个月的实战直播课选择了半导体板块，很及时
246,说好一个月更新四节课，结果两个月只更新了两节
247,课件排版乱七八糟，错别字一大堆
248,自选股分组功能太少了，只能分三个组
249,盘口语言这门课不错，就是后续没有进阶内容
250,做空机制的原理讲得很清楚，学会了看空逻辑
251,知识付费花了一堆，但是没有形成自己的投资逻辑
252,用过去的数据回测说稳赚，纯属过拟合
253,说是名师授课，结果老师自己都没实战经验
254,分级基金教学已经是过去式了，该更新了
255,学习群全是打广告的，真正讨论技术的没几个
256,游资席位分析课趣味性很强，学到不少
257,妖股的特征分析课很有意思，识别了一些规律
258,融券业务讲解很实用，打开了新思路
259,喊单频率太高了，一天十几条根本消化不了
260,视频不能倍速播放，太浪费时间了
261,可转债转股套利讲得深入浅出，收获很多
262,学习计划太紧了，上班族根本跟不上
263,课程设置很系统，循序渐进能跟得上
264,科创板打新策略分析很及时，跟上节奏了
265,PC端和手机端数据不同步，太不方便了
266,实战跟单功能一直说在开发，半年了还没上线
267,刚续费就出了更便宜的新套餐
268,转让课程要收高额手续费
269,老师普通话不标准，很多地方听不清
270,助教也是半桶水，问深一点就答不上来
271,讲的战法听起来很厉害，实际一用就被套
272,现金流量表才是照妖镜，这个课讲得好
273,信用卡分期付款退课了但是手续费不退
274,技术指标课讲了几十种指标，用起来全冲突
275,现金流量表才是照妖镜，这个课讲得好
276,每次都听懂了，一操作就亏，心态崩了
277,客服说反馈给技术部门，从来没人联系我
278,讲得最好的部分就是推销环节
279,收益曲线图明显是P的，走势太完美了
280,购课时说的一对一辅导实际上是一对多
281,直播课回放一直打不开，技术问题能不能处理一下？
282,社区讨论发帖一直被审核，发不出去
283,每天都有学长学姐分享成功经验，一看就是托
284,每次都说牛市来了重仓干，结果每次都套在山顶
285,涨停板战法全是高风险操作，亏了不管
286,推荐的股票都是涨了才发战报，跌了的从不说
287,红利策略在震荡市表现很好，感谢推荐
288,团队套餐说的五个账号，结果只能同时登一个
289,交易信号推送不及时，等看到了已经过了最佳时机
290,学员之间的水平差距太大了，有人跟不上有人嫌慢
291,价格虽然贵但是内容确实有点干货
292,买了课程三天觉得不适合想退，说不符合退款条件
293,能不能增加一些技术指标的组合使用教学
294,说自己年化收益翻倍，结果跑了
295,换手率分析课帮我看懂了很多庄股
296,反复讲同一套内容，新东西太少了
297,直播互动环节安排太少，基本都是听老师一个人讲
298,直播课回放一直打不开，技术问题能不能处理一下？
299,说是有机构内幕消息，结果买了就跌停
300,集合竞价分析课内容很新颖，建议多更新
301,存货周转率分析帮助很大，学会了看公司经营质量
302,会员专属直播经常改时间，赶不上只能看重播
303,课程视频清晰度太差，图表都看不清
304,退款申请提交了半个月了还在审核中
305,科创板做市商制度对我帮助很大
306,跟单软件经常延迟，成交价差很大
307,北交所交易机制课程太少了，需要补充
308,说好的中线持有，结果跌了10%就让止损，前后矛盾
309,案例分析都是选涨得好的股票来说，马后炮
310,批量布置的作业没有针对性
311,作业做了也没人批改，不知道自己错在哪
312,集合竞价分析课内容很新颖，建议多更新
313,公司估值方法建议增加DCF模型的实操
314,交易记录查询只能查最近半年
315,教的技术指标组合根本不能用来实盘
316,抄底逃顶技巧课确实有一些干货
317,ETF期权策略组合课讲得不错，已经开始实盘了
318,定向增发对股价的影响分析很有深度
319,融资融券的教学纯粹是忽悠，风险讲得太少
320,利润表里藏雷的识别方法很实用
321,REITs投资分析课内容很新颖，对市场有了新认识
322,老师自己实盘和带单完全是两套策略
323,投资组合的建议很中肯，分散了风险
324,学习群刷屏太快了，有用的信息都被淹没了
325,推荐股票之前自己已经建仓了，让我们散户接盘
326,老师的实盘截图是假的，日期对不上
327,老师回复很细心，学到了很多实战技巧
328,红利策略在震荡市表现很好，感谢推荐
329,学习群里的高手都是机构号
330,课程公告说延期就延期，没有任何补偿
331,自选股列表经常丢失，添加了又没了
332,训练营的节奏太快了，每天都要加班完成作业
333,我的学习进度经常重置，看了的课又变成未看
334,知识点太散了，没有一个完整的投资体系
335,手机APP经常闪退，更新了新版本更卡了
336,技术分析画图工具没有撤销功能
337,老师讲的趋势线画法不实用，每个人画出来都不一样
338,指数基金定投策略很实用，已经在执行了
339,买了进阶课才发现必须要有基础才能听懂，我零基础跟不上了
340,说好的学完可以自己建立交易系统，根本没学会
341,字体大小不能调整，老年人看不清楚
342,会员群里发的操作建议真假难辨
343,课程讲得太浅了，都是基础知识，能不能讲点实操干货？
344,盘前分析很准，这周跟着操作赚了不少
345,每日复盘直播很有价值，能学到不少东西
346,说中线持股结果自己也做短线，双标
347,退款到账时间说七个工作日，结果拖了一个月
348,机构持仓分析让我学会了抄机构作业
349,可转债打新策略完全过时了，中签率太低了
350,北向资金分析课讲得还行，操作建议太模糊
